ref_file,intersection,approach,ff_speed,cum_dist
25,ref_2_WE.csv,2,WE,24.5872,-129.51
46,ref_2_SN.csv,2,SN,24.5872,171.29
86,ref_2_WE.csv,2,WE,24.5872,-129.51
87,ref_2_EW.csv,2,EW,24.5872,550.67
284,ref_2_NS.csv,2,NS,24.5872,-0.03
404,ref_2_WE.csv,2,WE,24.5872,-42.97
465,ref_3_NS.csv,3,NS,24.5872,962.0
640,ref_4_4218_WE.csv,4,WE,24.5872,1511.56
660,ref_2_SN.csv,2,SN,24.5872,1754.16
680,ref_4_4218_WE.csv,4,WE,24.5872,1511.56
947,ref_3_EW.csv,3,EW,24.5872,756.48
967,ref_4_SN.csv,4,SN,13.4112,-2.27
988,ref_3_EW.csv,3,EW,24.5872,756.48
1008,ref_4_SN.csv,4,SN,13.4112,-10.34
1009,ref_4_EW.csv,4,EW,24.5872,531.0
1230,ref_4_4218_NS.csv,4,NS,22.352,364.84
1250,ref_4_4218_WE.csv,4,WE,24.5872,-62.26
1311,ref_4_4218_NS.csv,4,NS,22.352,672.7
25,ref_4_4218_WE.csv,4,WE,24.5872,-62.26
125,ref_4_4218_NS.csv,4,NS,22.352,1362.98
205,ref_5_NWSE.csv,5,NWSE,22.352,-65.63
266,ref_5_SENW.csv,5,SENW,22.352,195.75
356,ref_5_NESW.csv,5,NESW,13.4112,-19.32
416,ref_1_SENW.csv,1,SENW,17.8816,401.79
65,ref_5_SWNE.csv,5,SWNE,13.4112,129.32
85,ref_1_SWNE.csv,1,SWNE,24.5872,430.97
165,ref_5_NESW.csv,5,NESW,13.4112,-69.91
45,ref_5_SWNE.csv,5,SWNE,13.4112,123.78
170,ref_5_NESW.csv,5,NESW,13.4112,183.86
190,ref_5_SWNE.csv,5,SWNE,13.4112,-149.66
251,ref_5_NESW.csv,5,NESW,13.4112,151.17
371,ref_5_SWNE.csv,5,SWNE,13.4112,-139.01
392,ref_5_NESW.csv,5,NESW,13.4112,126.65
412,ref_5_SWNE.csv,5,SWNE,13.4112,-149.66
433,ref_5_NESW.csv,5,NESW,13.4112,135.35
529,ref_1_SENW.csv,1,SENW,17.8816,401.79
549,ref_5_SENW.csv,5,SENW,22.352,-36.4
570,ref_1_SENW.csv,1,SENW,17.8816,401.79
590,ref_5_SWNE.csv,5,SWNE,13.4112,91.2
65,ref_1_SENW.csv,1,SENW,17.8816,401.79
105,ref_5_SWNE.csv,5,SWNE,13.4112,85.76
221,ref_5_NESW.csv,5,NESW,13.4112,-69.91
292,ref_5_SWNE.csv,5,SWNE,13.4112,104.8
357,ref_5_NWSE.csv,5,NWSE,22.352,-65.66
367,ref_5_SWNE.csv,5,SWNE,13.4112,-0.67
387,ref_2_EW.csv,2,EW,24.5872,610.64
397,ref_5_SENW.csv,5,SENW,22.352,276.67
557,ref_4_EW.csv,4,EW,24.5872,239.63
567,ref_4_4218_NS.csv,4,NS,22.352,1183.4
717,ref_4_EW.csv,4,EW,24.5872,-31.29
718,ref_4_4218_NS.csv,4,NS,22.352,-7.75
738,ref_3_SN.csv,3,SN,24.5872,-17.82
748,ref_4_4218_NS.csv,4,NS,22.352,0.09
838,ref_4_4218_WE.csv,4,WE,24.5872,633.74
858,ref_4_4218_NS.csv,4,NS,22.352,0.09
888,ref_3_SN.csv,3,SN,24.5872,-17.82
899,ref_4_4218_WE.csv,4,WE,24.5872,643.76
31,ref_4_EW.csv,4,EW,24.5872,-31.04
32,ref_4_SN.csv,4,SN,13.4112,57.96
42,ref_4_4218_WE.csv,4,WE,24.5872,636.23
52,ref_4_4218_NS.csv,4,NS,22.352,0.09
62,ref_4_4218_WE.csv,4,WE,24.5872,636.35
82,ref_4_4218_NS.csv,4,NS,22.352,0.13
192,ref_3_SN.csv,3,SN,24.5872,-17.82
233,ref_3_EW.csv,3,EW,24.5872,714.97
